Subj,List,BLOCK,TRIAL,SET,LC,CatNumber,Category,PicID,TARGET,Response,Accuracy,RT
35,5,2,20,1,CRel,7,transportation,car.png,Wefer,Wefer,1,777
35,5,2,21,1,UnRel,15,plants,moss.png,Zwilk,Zwilk,1,698
35,5,2,22,2,CRel,3,vegetables,cucumber.png,Lepf,Lepf,1,769
35,5,2,23,3,UnRel,11,tableware,glass.png,Randel,Randel,1,652
35,5,2,24,2,UnRel,6,furniture,cupboard.png,Gremt,Gremt,1,723
36,3,1,1,2,UnRel,10,clothes,skirt.png,Huspel,Huspel,1,773
36,3,1,2,3,CRel,12,shapes,diamond.png,Brähme,Brähme,1,1486
36,3,1,3,3,UnRel,1,animals,dog.png,Jasel,Jasel,1,614
36,3,1,4,1,CRel,14,electronic devices,mobile.png,Rumfe,Rumfe,1,928
36,3,1,5,2,CRel,15,plants,tree.png,Gille,Gille,1,564
36,3,1,6,2,UnRel,9,drinks,water.png,Dimst,Dimst,1,681
36,3,1,7,2,UnRel,6,furniture,bed.png,Kansche,Kansche,1,627
36,3,1,8,1,UnRel,5,fruit,pear.png,Nork,Nork,1,631
36,3,1,9,1,CRel,14,electronic devices,camera.png,Zolge,Zolge,1,836
36,3,1,10,2,CRel,15,plants,moss.png,Zwilk,Zwilk,1,647
36,3,1,11,3,CRel,12,shapes,trapeze.png,Quippe,Quippe,1,928
36,3,1,12,2,UnRel,13,insects,dragonfly.png,Schmorp,Schmorp,1,642
36,3,2,13,3,UnRel,3,vegetables,potato.png,Rullner,Rullner,1,643
36,3,2,14,3,UnRel,4,musical instruments,violin.png,Wimsch,Wimsch,1,723
36,3,2,15,2,CRel,15,plants,cactus.png,Derg,Derg,1,488
36,3,2,16,1,UnRel,7,transportation,ship.png,Pramme,Pramme,1,710
36,3,2,17,1,CRel,14,electronic devices,computer.png,Merst,Merst,1,887
36,3,2,18,3,UnRel,11,tableware,cup.png,Knirs,Knirs,1,643
36,3,2,19,3,CRel,12,shapes,circle.png,Trulf,Trulf,1,744
36,3,2,20,2,CRel,15,plants,flower.png,Milster,Milster,1,547
36,3,2,21,1,UnRel,8,human head,mouth.png,Zürme,Zürme,1,908
36,3,2,22,1,CRel,14,electronic devices,printer.png,Jersch,Jersch,1,857
36,3,2,23,1,UnRel,2,tools,saw.png,Klüffe,Klüffe,1,765
36,3,2,24,3,CRel,12,shapes,star.png,Prals,Prals,1,781
38,3,1,1,2,UnRel,10,clothes,skirt.png,Huspel,Huspel,1,748
38,3,1,2,3,CRel,12,shapes,diamond.png,Brähme,Brähme,1,928
38,3,1,3,3,UnRel,1,animals,dog.png,Jasel,Jasel,1,681
38,3,1,4,1,CRel,14,electronic devices,mobile.png,Rumfe,Rumfe,1,694
38,3,1,5,2,CRel,15,plants,tree.png,Gille,Gille,1,647
38,3,1,6,2,UnRel,9,drinks,water.png,Dimst,Dimst,1,715
38,3,1,7,2,UnRel,6,furniture,bed.png,Kansche,Kansche,1,769
38,3,1,8,1,UnRel,5,fruit,pear.png,Nork,Nork,1,757
38,3,1,9,1,CRel,14,electronic devices,camera.png,Zolge,Zolge,1,706
38,3,1,10,2,CRel,15,plants,moss.png,Zwilk,Zwilk,1,702
38,3,1,11,3,CRel,12,shapes,trapeze.png,Quippe,Quippe,1,1147
38,3,1,12,2,UnRel,13,insects,dragonfly.png,Schmorp,Schmorp,1,683
38,3,2,13,3,UnRel,3,vegetables,potato.png,Rullner,Rullner,1,719
38,3,2,14,3,UnRel,4,musical instruments,violin.png,Wimsch,Wimsch,1,601
38,3,2,15,2,CRel,15,plants,cactus.png,Derg,Derg,1,748
38,3,2,16,1,UnRel,7,transportation,ship.png,Pramme,Pramme,1,706
38,3,2,17,1,CRel,14,electronic devices,computer.png,Merst,Merst,1,706
38,3,2,18,3,UnRel,11,tableware,cup.png,Knirs,Knirs,1,765
38,3,2,19,3,CRel,12,shapes,circle.png,Trulf,Trulf,1,878
38,3,2,20,2,CRel,15,plants,flower.png,Milster,Milster,1,627
38,3,2,21,1,UnRel,8,human head,mouth.png,Zürme,Zürme,1,685
38,3,2,22,1,CRel,14,electronic devices,printer.png,Jersch,Jersch,1,824
38,3,2,23,1,UnRel,2,tools,saw.png,Klüffe,Klüffe,1,698
38,3,2,24,3,CRel,12,shapes,star.png,Prals,Prals,1,1092
39,4,1,1,2,CRel,6,furniture,chair.png,Berne,NA,0,-1
39,4,1,2,3,UnRel,15,plants,flower.png,Milster,Mirge,0,2132
39,4,1,3,2,UnRel,1,animals,cow.png,Ploft,Ploft,1,610
39,4,1,4,3,CRel,13,insects,butterfly.png,Wulge,Wulge,1,668
39,4,1,5,1,CRel,9,drinks,coffee.png,Nimse,Nimse,1,1046
39,4,1,6,2,CRel,6,furniture,table.png,Rixt,Rixt,1,1205
39,4,1,7,1,UnRel,12,shapes,circle.png,Trulf,Trulf,1,958
39,4,1,8,1,UnRel,8,human head,nose.png,Wirs,Wirs,1,698
39,4,1,9,3,UnRel,11,tableware,bowl.png,Glemp,Glemp,1,882
39,4,1,10,3,CRel,13,insects,fly.png,Gulch,Gulch,1,1268
39,4,1,11,1,UnRel,3,vegetables,cucumber.png,Lepf,Lepf,1,895
39,4,1,12,2,UnRel,7,transportation,train.png,Melg,Melg,1,936
39,4,2,13,1,CRel,9,drinks,tea.png,Mönnel,Mönnel,1,857
39,4,2,14,1,UnRel,2,tools,pliers.png,Scholk,Scholk,1,769
39,4,2,15,3,UnRel,10,clothes,dress.png,Lanst,Lanst,1,702
39,4,2,16,3,CRel,13,insects,dragonfly.png,Schmorp,Schmorp,1,874
39,4,2,17,2,CRel,6,furniture,cupboard.png,Gremt,Gremt,1,908
39,4,2,18,1,CRel,9,drinks,water.png,Dimst,Dimst,1,807
39,4,2,19,2,UnRel,5,fruit,orange.png,Amst,Amst,1,664
39,4,2,20,3,UnRel,4,musical instruments,piano.png,Mirge,Mirge,1,1058
39,4,2,21,2,UnRel,14,electronic devices,camera.png,Zolge,Zolge,1,882
39,4,2,22,3,CRel,13,insects,beetle.png,Lember,Lember,1,790
39,4,2,23,1,CRel,9,drinks,milk.png,Bift,Bift,1,681
39,4,2,24,2,CRel,6,furniture,bed.png,Kansche,Kansche,1,752
40,4,1,1,2,CRel,6,furniture,chair.png,Berne,Berne,1,962
40,4,1,2,3,UnRel,15,plants,flower.png,Milster,Milster,1,849
40,4,1,3,2,UnRel,1,animals,cow.png,Ploft,Ploft,1,899
40,4,1,4,3,CRel,13,insects,butterfly.png,Wulge,Wulge,1,945
40,4,1,5,1,CRel,9,drinks,coffee.png,Nimse,Nimse,1,719
40,4,1,6,2,CRel,6,furniture,table.png,Rixt,Rixt,1,836
40,4,1,7,1,UnRel,12,shapes,circle.png,Trulf,Trulf,1,912
40,4,1,8,1,UnRel,8,human head,nose.png,Wirs,Wirs,1,1017
40,4,1,9,3,UnRel,11,tableware,bowl.png,Glemp,Gr...Gremp,0,991
40,4,1,10,3,CRel,13,insects,fly.png,Gulch,Gulch,1,945
40,4,1,11,1,UnRel,3,vegetables,cucumber.png,Lepf,Lepf,1,891
40,4,1,12,2,UnRel,7,transportation,train.png,Melg,Melg,1,1184
40,4,2,13,1,CRel,9,drinks,tea.png,Mönnel,Mönnel,1,1100
40,4,2,14,1,UnRel,2,tools,pliers.png,Scholk,Schork,0,1105
40,4,2,15,3,UnRel,10,clothes,dress.png,Lanst,Lanst,1,958
40,4,2,16,3,CRel,13,insects,dragonfly.png,Schmorp,Schmorp,1,853
40,4,2,17,2,CRel,6,furniture,cupboard.png,Gremt,Gremt,1,1163
40,4,2,18,1,CRel,9,drinks,water.png,Dimst,Dimst,1,912
40,4,2,19,2,UnRel,5,fruit,orange.png,Amst,Amst,1,870
40,4,2,20,3,UnRel,4,musical instruments,piano.png,Mirge,Mirge,1,1075
40,4,2,21,2,UnRel,14,electronic devices,camera.png,Zolge,Zolge,1,1142
40,4,2,22,3,CRel,13,insects,beetle.png,Lember,Lember,1,849
40,4,2,23,1,CRel,9,drinks,milk.png,Bift,Bift,1,1033
40,4,2,24,2,CRel,6,furniture,bed.png,Kansche,Kansche,1,1029
41,4,1,1,2,CRel,6,furniture,chair.png,Berne,Berne,1,1075
41,4,1,2,3,UnRel,15,plants,flower.png,Milster,Milster,1,958
41,4,1,3,2,UnRel,1,animals,cow.png,Ploft,Ploft,1,757
41,4,1,4,3,CRel,13,insects,butterfly.png,Wulge,Wulge,1,1595
41,4,1,5,1,CRel,9,drinks,coffee.png,Nimse,Nimse,1,727
41,4,1,6,2,CRel,6,furniture,table.png,Rixt,Rixt,1,1444
41,4,1,7,1,UnRel,12,shapes,circle.png,Trulf,Trulf,1,987
41,4,1,8,1,UnRel,8,human head,nose.png,Wirs,Mirs...Wirs,0,882
41,4,1,9,3,UnRel,11,tableware,bowl.png,Glemp,Glemp,1,928
41,4,1,10,3,CRel,13,insects,fly.png,Gulch,Gulch,1,962
41,4,1,11,1,UnRel,3,vegetables,cucumber.png,Lepf,Lepf,1,1239
